OFFSETS ,"['12.74', '65.86', '7.38']"
LAST_GREENS ,"['7.09', '10.19', '8.41']"
RESULTS:,33.37,36.07,47.50

OFFSETS ,"['26.16', '1.27', '41.02']"
GREENS ,"['41.15', '37.25', '13.70', '60.59']"
LAST_GREENS ,"['19.35', '16.05', '8.41']"
RESULTS:,45.79,38.99,49.33

OFFSETS ,"['13.60', '29.76', '40.55']"
GREENS ,"['9.08', '37.00', '25.36', '60.29']"
LAST_GREENS ,"['51.42', '4.64', '8.71']"
RESULTS:,42.04,55.01,50.00

OFFSETS ,"['31.21', '29.76', '43.32']"
GREENS ,"['60.41', '45.95', '13.70', '62.79']"
LAST_GREENS ,"['0.09', '7.35', '6.21']"
RESULTS:,37.16,49.83,49.00

OFFSETS ,"['31.21', '29.76', '42.10']"
GREENS ,"['25.42', '45.91', '25.39', '62.79']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.92', '41.99', '40.41']"
GREENS ,"['58.02', '46.93', '11.37', '60.29']"
LAST_GREENS ,"['2.48', '8.71', '8.71']"
RESULTS:,35.86,41.01,48.00

OFFSETS ,"['42.96', '29.79', '44.20']"
GREENS ,"['42.34', '36.79', '27.77', '47.78']"
LAST_GREENS ,"['18.16', '2.44', '21.22']"
RESULTS:,22.70,51.81,50.50

OFFSETS ,"['25.92', '28.03', '40.43']"
GREENS ,"['25.00', '45.66', '13.70', '60.65']"
LAST_GREENS ,"['35.50', '7.64', '8.35']"
RESULTS:,35.13,43.91,49.50

OFFSETS ,"['26.27', '29.76', '40.41']"
GREENS ,"['10.44', '46.87', '3.48', '60.29']"
LAST_GREENS ,"['50.06', '16.65', '8.71']"
RESULTS:,27.87,26.07,28.00

OFFSETS ,"['25.93', '31.18', '24.87']"
GREENS ,"['53.41', '45.75', '11.05', '60.59']"
LAST_GREENS ,"['7.09', '10.19', '8.41']"
RESULTS:,35.23,36.85,44.50

OFFSETS ,"['25.91', '44.73', '40.46']"
GREENS ,"['41.06', '45.91', '3.37', '60.43']"
LAST_GREENS ,"['19.44', '17.72', '8.57']"
RESULTS:,26.15,21.31,30.33

OFFSETS ,"['25.92', '41.99', '40.41']"
GREENS ,"['53.34', '46.98', '3.61', '55.44']"
LAST_GREENS ,"['7.16', '16.41', '13.56']"
RESULTS:,11.84,11.13,10.33

OFFSETS ,"['25.92', '44.73', '40.41']"
GREENS ,"['40.61', '45.91', '13.56', '60.23']"
LAST_GREENS ,"['19.89', '7.53', '8.77']"
RESULTS:,36.63,44.90,48.00

OFFSETS ,"['26.29', '41.99', '40.46']"
GREENS ,"['43.17', '46.95', '3.68', '60.34']"
LAST_GREENS ,"['17.33', '16.37', '8.66']"
RESULTS:,23.00,19.29,28.33

OFFSETS ,"['25.92', '30.06', '40.41']"
GREENS ,"['40.61', '45.91', '3.40', '60.12']"
LAST_GREENS ,"['19.89', '17.69', '8.88']"
RESULTS:,26.95,23.70,27.00

OFFSETS ,"['42.71', '10.98', '39.95']"
GREENS ,"['40.97', '37.47', '27.74', '47.78']"
LAST_GREENS ,"['19.53', '1.80', '21.22']"
RESULTS:,25.93,55.11,51.00

OFFSETS ,"['25.92', '42.64', '40.41']"
GREENS ,"['40.61', '46.20', '13.44', '41.18']"
LAST_GREENS ,"['19.89', '7.36', '27.82']"
RESULTS:,40.96,45.98,50.00

OFFSETS ,"['25.91', '44.84', '40.46']"
GREENS ,"['53.48', '45.91', '3.61', '60.52']"
LAST_GREENS ,"['7.02', '17.48', '8.48']"
RESULTS:,27.00,22.81,30.67

OFFSETS ,"['25.91', '41.99', '40.41']"
GREENS ,"['43.17', '46.95', '3.39', '60.34']"
LAST_GREENS ,"['17.33', '16.65', '8.66']"
RESULTS:,26.63,21.96,27.33

OFFSETS ,"['26.29', '41.99', '40.46']"
GREENS ,"['43.17', '46.95', '3.23', '60.34']"
LAST_GREENS ,"['17.33', '16.81', '8.66']"
RESULTS:,23.00,19.29,28.33

OFFSETS ,"['25.90', '44.73', '40.40']"
GREENS ,"['41.06', '45.91', '13.88', '55.38']"
LAST_GREENS ,"['19.44', '7.21', '13.62']"
RESULTS:,21.89,35.35,49.00

OFFSETS ,"['25.91', '50.30', '40.45']"
GREENS ,"['41.06', '45.65', '13.63', '55.38']"
LAST_GREENS ,"['19.44', '7.72', '13.62']"
RESULTS:,36.90,41.93,49.00

OFFSETS ,"['25.92', '30.58', '40.45']"
GREENS ,"['26.16', '37.00', '3.74', '54.12']"
LAST_GREENS ,"['34.34', '26.27', '14.88']"
RESULTS:,15.90,12.15,14.33

OFFSETS ,"['24.87', '41.97', '40.46']"
GREENS ,"['43.17', '46.95', '3.23', '60.41']"
LAST_GREENS ,"['17.33', '16.81', '8.59']"
RESULTS:,26.89,22.26,27.67

OFFSETS ,"['26.29', '41.99', '40.47']"
GREENS ,"['53.17', '46.98', '3.63', '55.04']"
LAST_GREENS ,"['7.33', '16.39', '13.96']"
RESULTS:,13.45,12.39,9.50

OFFSETS ,"['25.92', '29.10', '40.41']"
GREENS ,"['50.38', '47.02', '13.24', '55.56']"
LAST_GREENS ,"['10.12', '6.74', '13.44']"
RESULTS:,20.58,34.84,49.00

OFFSETS ,"['25.92', '41.99', '40.46']"
GREENS ,"['53.34', '46.98', '3.63', '55.44']"
LAST_GREENS ,"['7.16', '16.39', '13.56']"
RESULTS:,11.84,11.13,10.33

OFFSETS ,"['25.92', '29.10', '40.41']"
GREENS ,"['52.19', '46.98', '3.38', '55.60']"
LAST_GREENS ,"['8.31', '16.64', '13.40']"
RESULTS:,12.65,11.95,7.67

OFFSETS ,"['55.04', '42.60', '40.08']"
GREENS ,"['59.72', '36.96', '13.70', '55.45']"
LAST_GREENS ,"['0.78', '16.34', '13.55']"
RESULTS:,20.75,16.80,12.00

OFFSETS ,"['43.24', '42.16', '40.24']"
GREENS ,"['50.28', '46.98', '3.32', '55.32']"
LAST_GREENS ,"['10.22', '16.70', '13.68']"
RESULTS:,10.74,10.08,9.33

OFFSETS ,"['42.87', '43.00', '40.44']"
GREENS ,"['42.34', '45.76', '2.83', '54.12']"
LAST_GREENS ,"['18.16', '18.41', '14.88']"
RESULTS:,8.34,7.68,9.33

OFFSETS ,"['25.92', '30.06', '40.45']"
GREENS ,"['40.61', '46.22', '3.75', '55.38']"
LAST_GREENS ,"['19.89', '17.03', '13.62']"
RESULTS:,10.48,9.56,7.67

OFFSETS ,"['25.92', '42.75', '40.41']"
GREENS ,"['40.92', '46.98', '3.38', '55.34']"
LAST_GREENS ,"['19.58', '16.64', '13.66']"
RESULTS:,11.78,11.47,11.50

OFFSETS ,"['26.11', '30.80', '44.13']"
GREENS ,"['25.38', '46.79', '3.40', '48.98']"
LAST_GREENS ,"['35.12', '16.80', '20.02']"
RESULTS:,12.75,11.27,8.00

OFFSETS ,"['43.46', '29.79', '44.46']"
GREENS ,"['43.31', '36.50', '26.86', '55.56']"
LAST_GREENS ,"['17.19', '3.64', '13.44']"
RESULTS:,26.06,46.44,51.00

OFFSETS ,"['25.92', '29.32', '40.50']"
GREENS ,"['40.92', '45.87', '3.39', '55.38']"
LAST_GREENS ,"['19.58', '17.74', '13.62']"
RESULTS:,10.57,9.70,8.00

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['25.26', '45.75', '3.41', '54.12']"
LAST_GREENS ,"['35.24', '17.84', '14.88']"
RESULTS:,10.35,9.42,8.00

OFFSETS ,"['25.92', '29.32', '40.50']"
GREENS ,"['40.92', '45.87', '3.40', '55.38']"
LAST_GREENS ,"['19.58', '17.74', '13.62']"
RESULTS:,10.57,9.70,8.00

OFFSETS ,"['25.92', '30.06', '40.41']"
GREENS ,"['40.32', '46.15', '3.41', '55.32']"
LAST_GREENS ,"['20.18', '17.44', '13.68']"
RESULTS:,10.48,9.56,7.67

OFFSETS ,"['25.92', '30.46', '40.41']"
GREENS ,"['52.61', '46.97', '3.38', '54.17']"
LAST_GREENS ,"['7.89', '16.65', '14.83']"
RESULTS:,10.64,9.66,7.33

OFFSETS ,"['25.92', '29.14', '44.19']"
GREENS ,"['52.62', '45.76', '3.41', '55.56']"
LAST_GREENS ,"['7.88', '17.84', '13.44']"
RESULTS:,10.72,9.76,8.00

OFFSETS ,"['25.92', '30.94', '40.72']"
GREENS ,"['53.34', '46.98', '3.75', '55.44']"
LAST_GREENS ,"['7.16', '16.27', '13.56']"
RESULTS:,11.95,11.35,8.00

OFFSETS ,"['25.92', '42.75', '40.41']"
GREENS ,"['40.92', '46.98', '3.38', '55.34']"
LAST_GREENS ,"['19.58', '16.64', '13.66']"
RESULTS:,11.78,11.47,11.50

OFFSETS ,"['25.92', '30.06', '40.45']"
GREENS ,"['40.60', '46.22', '3.74', '54.20']"
LAST_GREENS ,"['19.90', '17.04', '14.80']"
RESULTS:,11.35,10.57,7.67

OFFSETS ,"['25.92', '41.93', '40.41']"
GREENS ,"['27.10', '45.89', '3.40', '55.38']"
LAST_GREENS ,"['33.40', '17.70', '13.62']"
RESULTS:,10.74,9.88,9.67

OFFSETS ,"['25.92', '29.32', '40.50']"
GREENS ,"['40.92', '46.99', '3.32', '55.38']"
LAST_GREENS ,"['19.58', '16.69', '13.62']"
RESULTS:,11.49,10.51,7.33

OFFSETS ,"['25.92', '30.06', '40.45']"
GREENS ,"['40.61', '46.22', '3.32', '55.38']"
LAST_GREENS ,"['19.89', '17.45', '13.62']"
RESULTS:,10.48,9.56,7.67

OFFSETS ,"['25.92', '30.09', '40.41']"
GREENS ,"['40.31', '46.15', '3.40', '54.13']"
LAST_GREENS ,"['20.19', '17.45', '14.87']"
RESULTS:,11.35,10.57,7.67

OFFSETS ,"['25.92', '30.06', '40.41']"
GREENS ,"['39.57', '45.91', '3.40', '55.40']"
LAST_GREENS ,"['20.93', '17.69', '13.60']"
RESULTS:,10.48,9.56,7.67

OFFSETS ,"['25.90', '30.57', '40.41']"
GREENS ,"['40.60', '45.75', '3.40', '54.19']"
LAST_GREENS ,"['19.90', '17.86', '14.81']"
RESULTS:,10.35,9.42,8.00

OFFSETS ,"['25.92', '29.44', '40.41']"
GREENS ,"['40.65', '45.71', '3.92', '55.38']"
LAST_GREENS ,"['19.85', '17.37', '13.62']"
RESULTS:,10.44,9.58,7.67

OFFSETS ,"['25.92', '30.56', '39.20']"
GREENS ,"['25.66', '46.93', '9.59', '55.50']"
LAST_GREENS ,"['34.84', '10.48', '13.50']"
RESULTS:,21.98,28.05,44.50

OFFSETS ,"['25.92', '30.53', '40.41']"
GREENS ,"['23.02', '46.86', '3.48', '55.46']"
LAST_GREENS ,"['37.48', '16.66', '13.54']"
RESULTS:,11.17,10.64,7.33

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['40.61', '45.75', '3.95', '55.38']"
LAST_GREENS ,"['19.89', '17.30', '13.62']"
RESULTS:,10.47,9.80,8.00

OFFSETS ,"['25.92', '29.29', '40.50']"
GREENS ,"['40.62', '45.87', '3.39', '55.38']"
LAST_GREENS ,"['19.88', '17.74', '13.62']"
RESULTS:,10.57,9.70,8.00

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['40.61', '45.75', '3.40', '55.37']"
LAST_GREENS ,"['19.89', '17.85', '13.63']"
RESULTS:,9.82,8.94,7.67

OFFSETS ,"['25.92', '30.46', '40.41']"
GREENS ,"['52.61', '46.98', '3.38', '54.17']"
LAST_GREENS ,"['7.89', '16.65', '14.83']"
RESULTS:,10.64,9.66,7.33

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['53.08', '45.75', '3.40', '55.38']"
LAST_GREENS ,"['7.42', '17.85', '13.62']"
RESULTS:,9.82,8.94,7.67

OFFSETS ,"['26.29', '30.58', '40.46']"
GREENS ,"['53.33', '45.79', '3.42', '54.11']"
LAST_GREENS ,"['7.17', '17.79', '14.89']"
RESULTS:,9.79,8.80,7.67

OFFSETS ,"['25.92', '28.23', '40.41']"
GREENS ,"['52.19', '46.99', '3.38', '55.60']"
LAST_GREENS ,"['8.31', '16.64', '13.40']"
RESULTS:,10.16,9.37,7.67

OFFSETS ,"['25.92', '30.06', '40.41']"
GREENS ,"['40.35', '45.95', '3.40', '54.09']"
LAST_GREENS ,"['20.15', '17.65', '14.91']"
RESULTS:,11.35,10.57,7.67

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['25.88', '45.90', '2.82', '54.12']"
LAST_GREENS ,"['34.62', '18.28', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['26.29', '30.02', '40.46']"
GREENS ,"['53.34', '45.91', '3.42', '54.11']"
LAST_GREENS ,"['7.16', '17.68', '14.89']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['26.25', '30.06', '40.41']"
GREENS ,"['41.84', '45.77', '3.40', '54.13']"
LAST_GREENS ,"['18.66', '17.83', '14.87']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['25.92', '28.23', '40.41']"
GREENS ,"['52.19', '46.98', '3.38', '55.60']"
LAST_GREENS ,"['8.31', '16.65', '13.40']"
RESULTS:,10.16,9.37,7.67

OFFSETS ,"['25.92', '30.14', '40.50']"
GREENS ,"['40.76', '45.87', '3.94', '55.38']"
LAST_GREENS ,"['19.74', '17.19', '13.62']"
RESULTS:,10.38,9.59,7.67

OFFSETS ,"['43.66', '43.00', '40.44']"
GREENS ,"['22.73', '45.75', '2.81', '54.12']"
LAST_GREENS ,"['37.77', '18.43', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['26.12', '43.00', '40.44']"
GREENS ,"['40.92', '47.02', '3.32', '55.38']"
LAST_GREENS ,"['19.58', '16.66', '13.62']"
RESULTS:,9.88,9.44,9.00

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['25.38', '45.75', '3.40', '54.12']"
LAST_GREENS ,"['35.12', '17.84', '14.88']"
RESULTS:,10.35,9.42,8.00

OFFSETS ,"['25.92', '30.46', '40.41']"
GREENS ,"['51.92', '46.98', '3.38', '54.17']"
LAST_GREENS ,"['8.58', '16.65', '14.83']"
RESULTS:,10.64,9.66,7.33

OFFSETS ,"['25.92', '30.12', '40.41']"
GREENS ,"['23.02', '46.86', '3.48', '55.46']"
LAST_GREENS ,"['37.48', '16.66', '13.54']"
RESULTS:,10.10,9.43,7.33

OFFSETS ,"['26.93', '43.38', '40.41']"
GREENS ,"['41.84', '45.76', '3.40', '54.12']"
LAST_GREENS ,"['18.66', '17.83', '14.88']"
RESULTS:,9.20,8.42,10.33

OFFSETS ,"['26.25', '30.06', '40.41']"
GREENS ,"['41.84', '45.77', '3.34', '55.36']"
LAST_GREENS ,"['18.66', '17.89', '13.64']"
RESULTS:,10.36,9.37,7.67

OFFSETS ,"['26.25', '30.06', '40.41']"
GREENS ,"['41.22', '45.91', '3.40', '54.12']"
LAST_GREENS ,"['19.28', '17.68', '14.88']"
RESULTS:,9.77,8.77,7.67

OFFSETS ,"['25.91', '30.06', '40.41']"
GREENS ,"['53.24', '45.77', '3.40', '55.33']"
LAST_GREENS ,"['7.26', '17.84', '13.67']"
RESULTS:,10.48,9.56,7.67

OFFSETS ,"['25.92', '29.29', '40.41']"
GREENS ,"['40.57', '46.97', '3.90', '54.17']"
LAST_GREENS ,"['19.93', '16.13', '14.83']"
RESULTS:,11.10,10.32,7.33

OFFSETS ,"['26.27', '30.24', '40.44']"
GREENS ,"['41.22', '45.90', '2.82', '54.12']"
LAST_GREENS ,"['19.28', '18.28', '14.88']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['42.52', '42.82', '40.41']"
GREENS ,"['41.92', '45.91', '3.40', '54.12']"
LAST_GREENS ,"['18.58', '17.68', '14.88']"
RESULTS:,8.79,8.24,9.00

OFFSETS ,"['42.50', '30.06', '40.41']"
GREENS ,"['25.86', '45.77', '2.84', '54.12']"
LAST_GREENS ,"['34.64', '18.39', '14.88']"
RESULTS:,9.56,8.66,7.33

OFFSETS ,"['25.75', '30.11', '40.44']"
GREENS ,"['37.17', '47.00', '3.61', '55.45']"
LAST_GREENS ,"['23.33', '16.39', '13.55']"
RESULTS:,10.10,9.43,7.33

OFFSETS ,"['26.36', '29.29', '40.50']"
GREENS ,"['40.42', '45.87', '2.72', '54.09']"
LAST_GREENS ,"['20.08', '18.41', '14.91']"
RESULTS:,9.74,8.69,7.67

OFFSETS ,"['42.54', '30.49', '40.41']"
GREENS ,"['26.27', '45.93', '2.83', '55.43']"
LAST_GREENS ,"['34.23', '18.25', '13.57']"
RESULTS:,9.49,8.86,7.67

OFFSETS ,"['43.01', '42.91', '40.41']"
GREENS ,"['23.22', '45.75', '2.81', '54.12']"
LAST_GREENS ,"['37.28', '18.43', '14.88']"
RESULTS:,8.40,7.80,12.00

OFFSETS ,"['42.50', '30.06', '40.41']"
GREENS ,"['25.99', '45.72', '2.84', '54.13']"
LAST_GREENS ,"['34.51', '18.44', '14.87']"
RESULTS:,9.56,8.66,7.33

OFFSETS ,"['42.87', '43.00', '40.44']"
GREENS ,"['23.35', '45.76', '2.83', '54.12']"
LAST_GREENS ,"['37.15', '18.41', '14.88']"
RESULTS:,8.34,7.68,9.33

OFFSETS ,"['43.66', '43.00', '40.44']"
GREENS ,"['22.73', '45.75', '2.82', '54.12']"
LAST_GREENS ,"['37.77', '18.42', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['43.66', '29.69', '40.44']"
GREENS ,"['41.10', '42.86', '2.81', '54.12']"
LAST_GREENS ,"['19.40', '21.33', '14.88']"
RESULTS:,9.65,8.42,8.67

OFFSETS ,"['42.54', '30.12', '40.41']"
GREENS ,"['26.31', '45.77', '3.48', '54.12']"
LAST_GREENS ,"['34.19', '17.75', '14.88']"
RESULTS:,9.37,8.51,7.33

OFFSETS ,"['42.54', '29.26', '40.44']"
GREENS ,"['25.88', '45.90', '2.86', '54.12']"
LAST_GREENS ,"['34.62', '18.24', '14.88']"
RESULTS:,10.28,9.38,7.33

OFFSETS ,"['42.48', '42.16', '40.44']"
GREENS ,"['42.34', '46.86', '2.83', '54.12']"
LAST_GREENS ,"['18.16', '17.31', '14.88']"
RESULTS:,8.36,7.87,10.67

OFFSETS ,"['41.87', '30.04', '40.41']"
GREENS ,"['25.99', '45.72', '2.83', '54.13']"
LAST_GREENS ,"['34.51', '18.45', '14.87']"
RESULTS:,9.26,8.45,7.67

OFFSETS ,"['43.69', '30.04', '40.44']"
GREENS ,"['22.68', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['37.82', '18.27', '14.88']"
RESULTS:,9.95,9.04,8.00

OFFSETS ,"['41.86', '29.68', '40.44']"
GREENS ,"['26.63', '45.91', '2.83', '54.12']"
LAST_GREENS ,"['33.87', '18.26', '14.88']"
RESULTS:,9.33,8.49,8.00

OFFSETS ,"['43.72', '43.00', '40.44']"
GREENS ,"['22.71', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['37.79', '18.27', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['42.56', '29.68', '40.44']"
GREENS ,"['25.87', '45.91', '2.83', '54.12']"
LAST_GREENS ,"['34.63', '18.26', '14.88']"
RESULTS:,10.28,9.38,7.33

OFFSETS ,"['42.87', '30.22', '40.44']"
GREENS ,"['26.31', '45.77', '3.47', '54.12']"
LAST_GREENS ,"['34.19', '17.76', '14.88']"
RESULTS:,9.37,8.51,7.33

OFFSETS ,"['42.50', '29.68', '40.41']"
GREENS ,"['25.99', '45.77', '2.84', '54.12']"
LAST_GREENS ,"['34.51', '18.40', '14.88']"
RESULTS:,10.28,9.38,7.33

OFFSETS ,"['41.86', '29.68', '40.44']"
GREENS ,"['25.87', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['34.63', '18.27', '14.88']"
RESULTS:,9.33,8.49,8.00

OFFSETS ,"['26.22', '29.32', '40.44']"
GREENS ,"['40.58', '45.87', '3.95', '54.17']"
LAST_GREENS ,"['19.92', '17.18', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['42.86', '30.12', '40.41']"
GREENS ,"['25.99', '45.72', '3.48', '54.13']"
LAST_GREENS ,"['34.51', '17.80', '14.87']"
RESULTS:,9.37,8.51,7.33

OFFSETS ,"['42.54', '43.00', '40.41']"
GREENS ,"['23.77', '45.77', '2.80', '54.12']"
LAST_GREENS ,"['36.73', '18.43', '14.88']"
RESULTS:,8.10,7.61,8.33

OFFSETS ,"['25.92', '29.29', '40.41']"
GREENS ,"['40.57', '45.87', '3.90', '54.17']"
LAST_GREENS ,"['19.93', '17.23', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['41.71', '29.45', '40.44']"
GREENS ,"['41.24', '45.90', '3.89', '54.17']"
LAST_GREENS ,"['19.26', '17.20', '14.83']"
RESULTS:,10.64,9.94,7.67

OFFSETS ,"['41.86', '30.04', '40.44']"
GREENS ,"['40.59', '45.90', '3.97', '54.13']"
LAST_GREENS ,"['19.91', '17.12', '14.87']"
RESULTS:,10.28,9.47,7.67

OFFSETS ,"['42.87', '30.06', '40.41']"
GREENS ,"['25.99', '45.77', '3.46', '54.13']"
LAST_GREENS ,"['34.51', '17.77', '14.87']"
RESULTS:,9.37,8.51,7.33

