OFFSETS ,"['2.05', '50.29', '31.30']"
OFFSETS ,"['22.72', '63.21', '7.74']"
GREENS ,"['16.83', '60.88', '19.19', '38.79']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['56.46', '4.99', '19.36']"
GREENS ,"['48.69', '12.96', '42.84', '33.58']"
LAST_GREENS ,"['11.81', '11.20', '35.42']"
RESULTS:,158.44,105.38,107.00

OFFSETS ,"['71.71', '57.27', '4.95']"
GREENS ,"['44.47', '51.74', '60.82', '63.98']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['1.40', '60.05', '17.47']"
GREENS ,"['48.48', '25.99', '57.86', '51.55']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['43.06', '6.82', '44.20']"
GREENS ,"['42.34', '25.15', '43.91', '47.91']"
LAST_GREENS ,['-1.00']
RESULTS:,10000000.00,10000000.00,10000000.00

OFFSETS ,"['25.92', '29.81', '41.08']"
GREENS ,"['53.41', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['7.09', '7.55', '8.41']"
RESULTS:,35.99,45.48,49.50

OFFSETS ,"['28.85', '16.22', '2.86']"
GREENS ,"['53.67', '46.40', '13.70', '12.01']"
LAST_GREENS ,"['6.83', '6.90', '56.99']"
RESULTS:,129.83,73.97,48.00

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['9.08', '46.98', '3.48', '60.29']"
LAST_GREENS ,"['51.42', '16.54', '8.71']"
RESULTS:,27.42,26.97,26.00

OFFSETS ,"['45.69', '4.92', '19.52']"
GREENS ,"['48.51', '12.96', '42.84', '35.97']"
LAST_GREENS ,"['11.99', '11.20', '33.03']"
RESULTS:,159.69,104.85,103.00

OFFSETS ,"['42.71', '2.61', '3.97']"
GREENS ,"['13.10', '56.73', '5.69', '2.68']"
LAST_GREENS ,"['47.40', '4.58', '66.32']"
RESULTS:,72.54,90.03,56.33

OFFSETS ,"['2.05', '29.86', '31.30']"
GREENS ,"['34.37', '9.41', '13.27', '60.46']"
LAST_GREENS ,"['26.13', '44.32', '8.54']"
RESULTS:,190.46,105.89,115.00

OFFSETS ,"['72.62', '23.51', '52.03']"
GREENS ,"['12.37', '16.09', '3.33', '40.54']"
LAST_GREENS ,"['48.13', '47.58', '28.46']"
RESULTS:,214.78,96.74,94.00

OFFSETS ,"['25.99', '54.02', '0.09']"
GREENS ,"['18.03', '9.83', '6.19', '10.64']"
LAST_GREENS ,"['42.47', '50.98', '58.36']"
RESULTS:,347.40,122.68,112.67

OFFSETS ,"['25.52', '42.66', '24.49']"
GREENS ,"['59.92', '45.68', '14.68', '37.95']"
LAST_GREENS ,"['0.58', '6.64', '31.05']"
RESULTS:,53.30,52.98,49.00

OFFSETS ,"['72.60', '29.76', '51.28']"
GREENS ,"['52.79', '46.02', '5.70', '2.69']"
LAST_GREENS ,"['7.71', '15.28', '66.31']"
RESULTS:,89.35,70.15,53.00

OFFSETS ,"['26.16', '1.27', '24.74']"
GREENS ,"['41.15', '38.86', '13.70', '60.59']"
LAST_GREENS ,"['19.35', '14.44', '8.41']"
RESULTS:,39.12,33.63,39.67

OFFSETS ,"['72.62', '23.26', '51.92']"
GREENS ,"['52.84', '59.94', '5.70', '3.01']"
LAST_GREENS ,"['7.66', '1.36', '65.99']"
RESULTS:,63.72,91.72,53.67

OFFSETS ,"['1.30', '23.25', '61.73']"
GREENS ,"['48.14', '25.01', '7.06', '15.46']"
LAST_GREENS ,"['12.36', '34.93', '53.54']"
RESULTS:,208.85,85.98,78.33

OFFSETS ,"['26.17', '29.76', '40.41']"
GREENS ,"['40.60', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['19.90', '7.39', '8.41']"
RESULTS:,33.65,45.18,49.50

OFFSETS ,"['25.92', '50.43', '40.41']"
GREENS ,"['24.98', '45.91', '13.70', '55.15']"
LAST_GREENS ,"['35.52', '7.39', '13.85']"
RESULTS:,35.97,43.22,48.00

OFFSETS ,"['26.17', '6.89', '41.02']"
GREENS ,"['24.88', '45.91', '13.70', '60.59']"
LAST_GREENS ,"['35.62', '7.39', '8.41']"
RESULTS:,33.22,45.76,49.50

OFFSETS ,"['45.44', '42.66', '23.80']"
GREENS ,"['59.81', '38.84', '25.47', '36.10']"
LAST_GREENS ,"['0.69', '2.69', '32.90']"
RESULTS:,58.68,67.36,51.50

OFFSETS ,"['25.91', '50.18', '40.41']"
GREENS ,"['41.06', '45.91', '13.70', '55.38']"
LAST_GREENS ,"['19.44', '7.39', '13.62']"
RESULTS:,38.76,42.86,47.50

OFFSETS ,"['25.92', '1.12', '41.08']"
GREENS ,"['58.05', '45.75', '13.70', '60.59']"
LAST_GREENS ,"['2.45', '7.55', '8.41']"
RESULTS:,33.78,45.15,49.50

OFFSETS ,"['25.92', '29.76', '40.41']"
GREENS ,"['4.59', '46.98', '3.48', '60.29']"
LAST_GREENS ,"['55.91', '16.54', '8.71']"
RESULTS:,27.42,26.97,26.00

OFFSETS ,"['56.25', '42.66', '40.08']"
GREENS ,"['59.81', '37.27', '13.78', '38.15']"
LAST_GREENS ,"['0.69', '15.96', '30.85']"
RESULTS:,40.08,27.92,20.67

OFFSETS ,"['25.92', '44.74', '40.41']"
GREENS ,"['24.79', '45.91', '13.70', '55.38']"
LAST_GREENS ,"['35.71', '7.39', '13.62']"
RESULTS:,21.89,35.35,49.00

OFFSETS ,"['25.92', '41.99', '40.41']"
GREENS ,"['53.34', '46.98', '3.48', '60.29']"
LAST_GREENS ,"['7.16', '16.54', '8.71']"
RESULTS:,26.63,21.96,27.33

OFFSETS ,"['43.07', '10.98', '44.20']"
GREENS ,"['42.34', '37.36', '27.77', '47.78']"
LAST_GREENS ,"['18.16', '1.88', '21.22']"
RESULTS:,25.90,54.79,51.00

OFFSETS ,"['26.16', '30.06', '41.27']"
GREENS ,"['41.18', '37.29', '13.67', '60.73']"
LAST_GREENS ,"['19.32', '16.04', '8.27']"
RESULTS:,37.73,29.73,47.67

OFFSETS ,"['43.07', '43.22', '44.16']"
GREENS ,"['42.34', '37.36', '27.74', '47.91']"
LAST_GREENS ,"['18.16', '1.91', '21.09']"
RESULTS:,18.19,50.05,51.00

OFFSETS ,"['26.07', '44.76', '41.02']"
GREENS ,"['41.14', '45.91', '13.71', '60.59']"
LAST_GREENS ,"['19.36', '7.39', '8.41']"
RESULTS:,39.13,47.08,48.00

OFFSETS ,"['26.17', '30.06', '41.28']"
GREENS ,"['41.18', '37.29', '13.67', '60.73']"
LAST_GREENS ,"['19.32', '16.04', '8.27']"
RESULTS:,37.73,29.73,47.67

OFFSETS ,"['25.92', '42.95', '40.45']"
GREENS ,"['25.38', '37.29', '13.77', '40.26']"
LAST_GREENS ,"['35.12', '15.94', '28.74']"
RESULTS:,52.16,34.03,29.00

OFFSETS ,"['25.92', '31.18', '10.92']"
GREENS ,"['53.41', '45.81', '3.17', '60.59']"
LAST_GREENS ,"['7.09', '18.03', '8.41']"
RESULTS:,35.15,25.48,26.00

OFFSETS ,"['26.02', '10.95', '40.41']"
GREENS ,"['25.36', '46.48', '13.70', '60.59']"
LAST_GREENS ,"['35.14', '6.83', '8.41']"
RESULTS:,32.90,46.64,49.50

OFFSETS ,"['25.92', '50.43', '40.41']"
GREENS ,"['25.36', '37.38', '13.70', '55.09']"
LAST_GREENS ,"['35.14', '15.92', '13.91']"
RESULTS:,75.03,47.13,69.00

OFFSETS ,"['42.71', '10.98', '44.20']"
GREENS ,"['40.97', '37.47', '27.74', '47.91']"
LAST_GREENS ,"['19.53', '1.80', '21.09']"
RESULTS:,25.90,54.79,51.00

OFFSETS ,"['25.92', '41.88', '40.41']"
GREENS ,"['40.92', '46.98', '3.38', '55.34']"
LAST_GREENS ,"['19.58', '16.65', '13.66']"
RESULTS:,11.98,11.39,9.00

OFFSETS ,"['26.29', '41.99', '40.46']"
GREENS ,"['53.34', '46.98', '3.63', '55.44']"
LAST_GREENS ,"['7.16', '16.39', '13.56']"
RESULTS:,13.45,12.39,9.50

OFFSETS ,"['26.29', '41.99', '40.41']"
GREENS ,"['44.24', '46.95', '13.74', '47.75']"
LAST_GREENS ,"['16.26', '6.31', '21.25']"
RESULTS:,24.01,36.18,48.50

OFFSETS ,"['25.92', '31.38', '10.92']"
GREENS ,"['53.41', '45.81', '3.32', '55.57']"
LAST_GREENS ,"['7.09', '17.88', '13.43']"
RESULTS:,27.34,18.16,13.67

OFFSETS ,"['56.25', '42.66', '44.33']"
GREENS ,"['59.81', '37.27', '13.78', '38.28']"
LAST_GREENS ,"['0.69', '15.96', '30.72']"
RESULTS:,40.23,27.64,22.00

OFFSETS ,"['25.92', '30.58', '40.45']"
GREENS ,"['25.38', '37.00', '3.74', '54.12']"
LAST_GREENS ,"['35.12', '26.27', '14.88']"
RESULTS:,15.90,12.15,14.33

OFFSETS ,"['25.92', '39.87', '40.41']"
GREENS ,"['58.03', '40.98', '8.67', '57.02']"
LAST_GREENS ,"['2.47', '17.35', '11.98']"
RESULTS:,14.55,12.77,12.67

OFFSETS ,"['43.07', '43.22', '44.16']"
GREENS ,"['42.34', '46.80', '2.83', '48.98']"
LAST_GREENS ,"['18.16', '17.37', '20.02']"
RESULTS:,13.53,12.42,8.33

OFFSETS ,"['25.92', '31.38', '10.92']"
GREENS ,"['53.41', '46.96', '3.32', '55.57']"
LAST_GREENS ,"['7.09', '16.72', '13.43']"
RESULTS:,27.22,18.70,12.33

OFFSETS ,"['25.92', '41.88', '40.41']"
GREENS ,"['42.07', '46.98', '3.48', '60.03']"
LAST_GREENS ,"['18.43', '16.54', '8.97']"
RESULTS:,26.61,23.61,26.67

OFFSETS ,"['25.92', '41.99', '40.41']"
GREENS ,"['52.56', '46.98', '3.61', '55.44']"
LAST_GREENS ,"['7.94', '16.41', '13.56']"
RESULTS:,11.84,11.13,10.33

OFFSETS ,"['42.34', '42.53', '44.20']"
GREENS ,"['43.20', '46.87', '13.42', '55.32']"
LAST_GREENS ,"['17.30', '6.72', '13.68']"
RESULTS:,20.56,35.38,48.50

OFFSETS ,"['25.92', '30.11', '40.41']"
GREENS ,"['40.76', '47.00', '3.61', '55.45']"
LAST_GREENS ,"['19.74', '16.39', '13.55']"
RESULTS:,10.10,9.43,7.33

OFFSETS ,"['42.34', '42.53', '40.51']"
GREENS ,"['43.20', '46.99', '13.42', '55.32']"
LAST_GREENS ,"['17.30', '6.59', '13.68']"
RESULTS:,20.24,34.97,49.50

OFFSETS ,"['25.92', '29.10', '44.19']"
GREENS ,"['50.38', '46.85', '3.48', '55.56']"
LAST_GREENS ,"['10.12', '16.66', '13.44']"
RESULTS:,10.47,9.83,8.33

OFFSETS ,"['25.92', '28.82', '40.41']"
GREENS ,"['40.92', '46.98', '3.38', '55.34']"
LAST_GREENS ,"['19.58', '16.65', '13.66']"
RESULTS:,12.80,12.17,9.00

OFFSETS ,"['25.92', '28.23', '40.41']"
GREENS ,"['52.19', '46.98', '3.38', '55.60']"
LAST_GREENS ,"['8.31', '16.64', '13.40']"
RESULTS:,10.16,9.37,7.67

OFFSETS ,"['25.92', '42.43', '10.65']"
GREENS ,"['53.41', '46.96', '3.62', '55.57']"
LAST_GREENS ,"['7.09', '16.41', '13.43']"
RESULTS:,29.64,21.43,15.67

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['40.61', '45.75', '3.40', '55.38']"
LAST_GREENS ,"['19.89', '17.85', '13.62']"
RESULTS:,9.82,8.94,7.67

OFFSETS ,"['25.05', '29.44', '40.41']"
GREENS ,"['52.50', '45.81', '3.42', '55.44']"
LAST_GREENS ,"['8.00', '17.77', '13.56']"
RESULTS:,10.37,9.69,7.67

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['25.87', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['34.63', '18.27', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['43.24', '29.10', '40.24']"
GREENS ,"['50.28', '45.86', '3.39', '55.32']"
LAST_GREENS ,"['10.22', '17.75', '13.68']"
RESULTS:,10.97,10.22,7.67

OFFSETS ,"['26.29', '30.58', '40.46']"
GREENS ,"['53.34', '45.81', '3.42', '55.44']"
LAST_GREENS ,"['7.16', '17.78', '13.56']"
RESULTS:,10.02,9.12,7.67

OFFSETS ,"['25.92', '28.35', '40.41']"
GREENS ,"['24.96', '45.76', '3.40', '55.56']"
LAST_GREENS ,"['35.54', '17.84', '13.44']"
RESULTS:,10.67,9.75,8.33

OFFSETS ,"['25.92', '29.12', '44.48']"
GREENS ,"['40.96', '45.69', '3.48', '55.38']"
LAST_GREENS ,"['19.54', '17.83', '13.62']"
RESULTS:,10.70,9.69,8.00

OFFSETS ,"['26.29', '30.58', '40.46']"
GREENS ,"['53.34', '45.79', '3.42', '54.11']"
LAST_GREENS ,"['7.16', '17.79', '14.89']"
RESULTS:,9.79,8.80,7.67

OFFSETS ,"['25.92', '30.11', '40.41']"
GREENS ,"['39.57', '46.96', '3.61', '55.41']"
LAST_GREENS ,"['20.93', '16.43', '13.59']"
RESULTS:,10.51,9.67,7.67

OFFSETS ,"['25.02', '29.44', '40.41']"
GREENS ,"['52.50', '45.81', '3.42', '55.38']"
LAST_GREENS ,"['8.00', '17.77', '13.62']"
RESULTS:,10.37,9.69,7.67

OFFSETS ,"['25.92', '29.34', '40.41']"
GREENS ,"['40.61', '45.78', '3.32', '55.38']"
LAST_GREENS ,"['19.89', '17.90', '13.62']"
RESULTS:,10.57,9.70,8.00

OFFSETS ,"['26.33', '30.57', '40.46']"
GREENS ,"['40.61', '45.81', '3.40', '55.44']"
LAST_GREENS ,"['19.89', '17.79', '13.56']"
RESULTS:,10.02,9.12,7.67

OFFSETS ,"['26.33', '30.57', '40.46']"
GREENS ,"['40.61', '45.81', '3.41', '55.44']"
LAST_GREENS ,"['19.89', '17.78', '13.56']"
RESULTS:,10.02,9.12,7.67

OFFSETS ,"['25.92', '30.61', '40.41']"
GREENS ,"['26.42', '45.80', '3.40', '54.10']"
LAST_GREENS ,"['34.08', '17.80', '14.90']"
RESULTS:,11.75,10.68,8.00

OFFSETS ,"['25.92', '29.29', '40.41']"
GREENS ,"['40.57', '45.87', '3.90', '54.17']"
LAST_GREENS ,"['19.93', '17.23', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['25.92', '30.06', '40.12']"
GREENS ,"['23.89', '45.90', '3.40', '54.19']"
LAST_GREENS ,"['36.61', '17.70', '14.81']"
RESULTS:,10.05,9.16,7.67

OFFSETS ,"['26.25', '30.06', '40.41']"
GREENS ,"['25.99', '45.77', '3.40', '54.12']"
LAST_GREENS ,"['34.51', '17.83', '14.88']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['42.67', '29.32', '40.49']"
GREENS ,"['42.34', '45.73', '2.83', '54.13']"
LAST_GREENS ,"['18.16', '18.44', '14.87']"
RESULTS:,11.12,10.18,8.00

OFFSETS ,"['26.29', '30.02', '40.46']"
GREENS ,"['53.34', '45.91', '3.42', '54.11']"
LAST_GREENS ,"['7.16', '17.68', '14.89']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['26.32', '30.58', '40.46']"
GREENS ,"['53.33', '45.91', '3.42', '54.11']"
LAST_GREENS ,"['7.17', '17.67', '14.89']"
RESULTS:,9.79,8.80,7.67

OFFSETS ,"['43.98', '29.77', '40.41']"
GREENS ,"['40.57', '45.75', '3.93', '54.17']"
LAST_GREENS ,"['19.93', '17.31', '14.83']"
RESULTS:,10.38,9.43,8.33

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['41.93', '45.90', '2.82', '54.12']"
LAST_GREENS ,"['18.57', '18.28', '14.88']"
RESULTS:,8.34,7.68,9.33

OFFSETS ,"['25.92', '30.57', '40.41']"
GREENS ,"['41.29', '45.75', '3.40', '55.38']"
LAST_GREENS ,"['19.21', '17.86', '13.62']"
RESULTS:,9.82,8.94,7.67

OFFSETS ,"['25.92', '30.52', '40.41']"
GREENS ,"['40.76', '47.00', '3.61', '55.45']"
LAST_GREENS ,"['19.74', '16.39', '13.55']"
RESULTS:,11.56,10.76,7.67

OFFSETS ,"['26.29', '30.02', '40.46']"
GREENS ,"['53.34', '45.90', '3.42', '54.12']"
LAST_GREENS ,"['7.16', '17.68', '14.88']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['25.92', '30.11', '40.41']"
GREENS ,"['37.17', '47.00', '3.61', '55.45']"
LAST_GREENS ,"['23.33', '16.39', '13.55']"
RESULTS:,10.10,9.43,7.33

OFFSETS ,"['25.92', '32.93', '40.41']"
GREENS ,"['41.85', '45.77', '3.40', '54.12']"
LAST_GREENS ,"['18.65', '17.83', '14.88']"
RESULTS:,9.81,8.79,8.33

OFFSETS ,"['26.25', '30.02', '40.46']"
GREENS ,"['53.40', '45.77', '3.40', '54.13']"
LAST_GREENS ,"['7.10', '17.83', '14.87']"
RESULTS:,9.70,8.76,7.67

OFFSETS ,"['25.92', '29.32', '40.50']"
GREENS ,"['40.74', '45.87', '3.94', '55.38']"
LAST_GREENS ,"['19.76', '17.19', '13.62']"
RESULTS:,10.46,9.75,7.33

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['25.88', '45.90', '2.81', '54.12']"
LAST_GREENS ,"['34.62', '18.29', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['26.68', '43.38', '40.41']"
GREENS ,"['41.85', '45.76', '3.40', '54.12']"
LAST_GREENS ,"['18.65', '17.83', '14.88']"
RESULTS:,9.20,8.42,10.33

OFFSETS ,"['43.82', '43.00', '40.41']"
GREENS ,"['22.73', '45.75', '2.81', '54.12']"
LAST_GREENS ,"['37.77', '18.43', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['26.63', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['33.87', '18.27', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['25.92', '30.11', '40.41']"
GREENS ,"['40.76', '45.90', '3.61', '55.44']"
LAST_GREENS ,"['19.74', '17.49', '13.56']"
RESULTS:,10.02,9.20,7.67

OFFSETS ,"['26.88', '30.95', '40.41']"
GREENS ,"['23.02', '45.76', '3.48', '55.46']"
LAST_GREENS ,"['37.48', '17.76', '13.54']"
RESULTS:,10.72,9.91,8.33

OFFSETS ,"['43.12', '43.00', '40.44']"
GREENS ,"['42.32', '45.76', '2.83', '54.12']"
LAST_GREENS ,"['18.18', '18.41', '14.88']"
RESULTS:,8.34,7.68,9.33

OFFSETS ,"['41.86', '30.04', '40.44']"
GREENS ,"['25.87', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['34.63', '18.27', '14.88']"
RESULTS:,9.26,8.45,7.67

OFFSETS ,"['41.91', '42.16', '40.44']"
GREENS ,"['42.34', '46.91', '2.83', '54.12']"
LAST_GREENS ,"['18.16', '17.26', '14.88']"
RESULTS:,9.01,8.48,8.33

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['26.63', '45.91', '2.83', '54.12']"
LAST_GREENS ,"['33.87', '18.26', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['42.87', '30.12', '40.41']"
GREENS ,"['26.31', '45.77', '3.48', '54.12']"
LAST_GREENS ,"['34.19', '17.75', '14.88']"
RESULTS:,9.37,8.51,7.33

OFFSETS ,"['41.89', '30.06', '40.44']"
GREENS ,"['25.86', '46.86', '2.84', '54.13']"
LAST_GREENS ,"['34.64', '17.31', '14.87']"
RESULTS:,10.24,9.47,7.67

OFFSETS ,"['42.50', '29.70', '40.41']"
GREENS ,"['25.86', '45.77', '2.89', '54.12']"
LAST_GREENS ,"['34.64', '18.34', '14.88']"
RESULTS:,10.28,9.38,7.33

OFFSETS ,"['25.92', '43.00', '40.44']"
GREENS ,"['22.98', '46.85', '2.83', '55.46']"
LAST_GREENS ,"['37.52', '17.32', '13.54']"
RESULTS:,9.55,8.83,8.67

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['25.87', '45.87', '2.83', '54.13']"
LAST_GREENS ,"['34.63', '18.30', '14.87']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['42.41', '42.58', '40.41']"
GREENS ,"['26.63', '45.91', '2.86', '54.17']"
LAST_GREENS ,"['33.87', '18.23', '14.83']"
RESULTS:,8.36,7.85,9.00

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['26.61', '45.87', '2.83', '54.12']"
LAST_GREENS ,"['33.89', '18.30', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['41.83', '43.00', '40.44']"
GREENS ,"['25.92', '45.75', '2.82', '54.12']"
LAST_GREENS ,"['34.58', '18.42', '14.88']"
RESULTS:,8.36,7.64,10.33

OFFSETS ,"['42.54', '43.00', '40.44']"
GREENS ,"['25.88', '45.90', '2.83', '54.12']"
LAST_GREENS ,"['34.62', '18.27', '14.88']"
RESULTS:,8.24,7.68,8.67

OFFSETS ,"['25.91', '29.45', '40.44']"
GREENS ,"['40.66', '45.87', '3.89', '54.17']"
LAST_GREENS ,"['19.84', '17.24', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['24.88', '29.29', '40.44']"
GREENS ,"['40.57', '45.90', '2.82', '54.13']"
LAST_GREENS ,"['19.93', '18.28', '14.87']"
RESULTS:,10.49,9.41,8.33

OFFSETS ,"['43.66', '43.00', '40.44']"
GREENS ,"['22.73', '45.75', '2.82', '54.12']"
LAST_GREENS ,"['37.77', '18.42', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['43.66', '43.00', '40.44']"
GREENS ,"['22.73', '45.75', '2.81', '54.12']"
LAST_GREENS ,"['37.77', '18.43', '14.88']"
RESULTS:,8.24,7.60,9.33

OFFSETS ,"['41.88', '30.04', '40.41']"
GREENS ,"['26.31', '45.78', '2.83', '54.12']"
LAST_GREENS ,"['34.19', '18.39', '14.88']"
RESULTS:,9.26,8.45,7.67

OFFSETS ,"['42.52', '30.12', '40.44']"
GREENS ,"['26.31', '45.76', '3.48', '54.12']"
LAST_GREENS ,"['34.19', '17.76', '14.88']"
RESULTS:,9.37,8.51,7.33

OFFSETS ,"['42.52', '43.00', '40.41']"
GREENS ,"['41.36', '45.90', '2.84', '54.12']"
LAST_GREENS ,"['19.14', '18.26', '14.88']"
RESULTS:,8.10,7.61,8.33

OFFSETS ,"['42.54', '30.30', '40.41']"
GREENS ,"['26.31', '46.86', '3.48', '54.12']"
LAST_GREENS ,"['34.19', '16.66', '14.88']"
RESULTS:,13.86,12.82,9.00

OFFSETS ,"['43.24', '42.53', '40.41']"
GREENS ,"['41.24', '45.90', '2.80', '54.12']"
LAST_GREENS ,"['19.26', '18.30', '14.88']"
RESULTS:,8.59,8.06,10.67

OFFSETS ,"['41.93', '42.51', '40.41']"
GREENS ,"['41.17', '45.90', '2.80', '54.12']"
LAST_GREENS ,"['19.33', '18.30', '14.88']"
RESULTS:,9.63,8.93,9.00

OFFSETS ,"['42.52', '43.62', '40.41']"
GREENS ,"['41.71', '45.90', '2.84', '54.12']"
LAST_GREENS ,"['18.79', '18.26', '14.88']"
RESULTS:,8.86,8.25,9.33

OFFSETS ,"['25.92', '29.32', '40.41']"
GREENS ,"['40.58', '45.87', '3.95', '54.17']"
LAST_GREENS ,"['19.92', '17.18', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['42.52', '43.00', '40.41']"
GREENS ,"['41.35', '45.90', '2.84', '54.12']"
LAST_GREENS ,"['19.15', '18.26', '14.88']"
RESULTS:,8.10,7.61,8.33

OFFSETS ,"['42.52', '30.08', '40.41']"
GREENS ,"['26.05', '45.77', '2.84', '54.12']"
LAST_GREENS ,"['34.45', '18.39', '14.88']"
RESULTS:,9.56,8.66,7.33

OFFSETS ,"['25.92', '29.29', '40.41']"
GREENS ,"['40.57', '45.87', '3.90', '54.17']"
LAST_GREENS ,"['19.93', '17.23', '14.83']"
RESULTS:,10.71,9.86,7.00

OFFSETS ,"['41.80', '30.04', '40.44']"
GREENS ,"['41.75', '45.75', '2.81', '54.12']"
LAST_GREENS ,"['18.75', '18.44', '14.88']"
RESULTS:,9.26,8.45,7.67

OFFSETS ,"['41.88', '42.53', '40.41']"
GREENS ,"['41.24', '45.90', '2.80', '54.12']"
LAST_GREENS ,"['19.26', '18.30', '14.88']"
RESULTS:,9.63,8.93,9.00

OFFSETS ,"['40.96', '30.12', '40.44']"
GREENS ,"['39.49', '45.76', '3.48', '54.12']"
LAST_GREENS ,"['21.01', '17.76', '14.88']"
RESULTS:,9.68,8.81,7.33

OFFSETS ,"['41.93', '29.32', '40.41']"
GREENS ,"['25.99', '45.77', '3.90', '54.17']"
LAST_GREENS ,"['34.51', '17.33', '14.83']"
RESULTS:,10.64,9.94,7.67

OFFSETS ,"['43.45', '43.02', '40.41']"
GREENS ,"['40.66', '45.87', '2.88', '54.16']"
LAST_GREENS ,"['19.84', '18.25', '14.84']"
RESULTS:,8.28,7.63,10.00

